
AOTC is Anakin
ATOC living Anakin
ATOC hear Anakin
ATOC pop Anakin
ATOC dart Anakin
ATOC back Anakin
ATOC burst Anakin
ATOC stand Anakin
ATOC hiss Anakin
ATOC front Anakin
ATOC has Anakin
ATOC dive Anakin
ATOC cross Anakin
ATOC get Anakin
ATOC hold Anakin
ATOC cut Anakin
ATOC firing Anakin
ATOC sighs Anakin
ATOC follow Anakin
ATOC start Anakin
ATOC moving Anakin
ATOC snatches Anakin
ATOC using Anakin
ATOC are Anakin
ATOC short Anakin
ATOC distance Anakin
ATOC back Anakin
ATOC stick Anakin
ATOC face Anakin
ATOC cross Anakin
ATOC stop Anakin
ATOC turn Anakin
ATOC spooked Anakin
ATOC stampedes Anakin
ATOC trampling Anakin
ATOC discarded Anakin
ATOC run Anakin
ATOC center Anakin
ATOC toss Anakin
ATOC cut Anakin
ATOC swing Anakin
ATOC draw Anakin
ATOC last Anakin
ATOC slumps Anakin
ATOC force Anakin
ATOC attack Anakin
ATOC count Anakin
ATOC hand Anakin
ATOC nicked Anakin
ATOC catch Anakin
ATOC parries Anakin
ATOC gripping Anakin
ATOC ground Anakin
ATOC deliver Anakin
ATOC face Anakin
ATOC whirls Anakin
rots use Anakin
rots cut Anakin
rots circle Anakin
rots arc Anakin
rots back Anakin
rots is Anakin
rots throw Anakin
rots ignite Anakin
rots continue Anakin
rots last Anakin
rots stumbles Anakin
rots moving Anakin
rots run Anakin
rots was Anakin
rots start Anakin
rots firing Anakin
rots bolts Anakin
rots follow Anakin
rots escaping Anakin
rots causing Anakin
rots rush Anakin
rots manages Anakin
rots are Anakin
rots ship Anakin
rots tries Anakin
rots break Anakin
rots pull Anakin
rots back Anakin
rots buffeting Anakin
rots causing Anakin
rots creating Anakin
rots go Anakin
rots blast Anakin
rots make Anakin
rots close Anakin
rots bouncing Anakin
rots using Anakin
rots spin Anakin
rots yank Anakin
rots hand Anakin
rots face Anakin
rots grab Anakin
rots bang Anakin
rots flee Anakin
rots fly Anakin
rots summon Anakin
rots work Anakin
rots continue Anakin
rots fight Anakin
rots reach Anakin
rots hit Anakin
rots look Anakin
rots battle Anakin
anh start Vader
anh charging Vader 
anh is Vader
anh deflect Vader
anh blow Vader
ROTJ taking Vader
ROTJ ponder Vader
ROTJ examine Vader
ROTJ stand Vader
ROTJ extinguishes Vader
ROTJ hand Vader
ROTJ flies Vader
ROTJ blow Vader
ROTJ reach Vader
ROTJ spark Vader
ROTJ fight Vader
ROTJ are Vader
ROTJ duel Vader
ROTJ battle Vader
ROTJ has Vader
ROTJ losing Vader
ROTJ back Vader
ROTJ using Vader
ROTJ driving Vader
ROTJ stalks Vader
ROTJ level Vader
ROTJ held Vader
ROTJ have Vader
ROTJ fly  Vader
ROTJ fight Vader
